@relation series-training

@attribute COMPARISONS_COUNT numeric
@attribute NEW_COUNT numeric
@attribute THIS_COUNT numeric
@attribute ALL_VARIABLES_COUNT numeric
@attribute ASSIGNMENTS_COUNT numeric
@attribute DEREFERENCES_COUNT numeric
@attribute FIELDS_COUNT numeric
@attribute FIELDS_WRITTEN_COUNT numeric
@attribute INVOCATIONS_COUNT numeric
@attribute GOTO_COUNT numeric
@attribute IF_COUNT numeric
@attribute LOCAL_INVOCATIONS_COUNT numeric
@attribute LOCAL_VARIABLES_COUNT numeric
@attribute NON_LOCAL_INVOCATIONS_COUNT numeric
@attribute PARAMETERS_COUNT numeric
@attribute RETURN_COUNT numeric
@attribute STATEMENTS_COUNT numeric
@attribute THROW_COUNT numeric
@attribute FIELDS_COVERAGE numeric
@attribute FIELDS_WRITTEN_COVERAGE numeric
@attribute INVOCATIONS_COVERAGE numeric
@attribute LOCAL_VARIABLES_COVERAGE numeric
@attribute PARAMETERS_COVERAGE numeric
@attribute 'Hot ArrayList<Unit>' {Hot,Cold}

@data
1,0,0,8,5,3,0,0,3,1,1,0,3,3,1,1,10,0,0,0,0,1,0,Cold
0,0,6,6,6,0,6,6,1,0,0,0,0,1,0,1,9,0,0.857143,0,0,0,0,Cold
1,0,3,6,4,3,2,3,1,0,1,0,2,1,0,1,7,0,0.25,0,0,0,0,Cold
1,0,0,8,5,3,0,0,3,1,1,0,3,3,1,1,10,0,0,0,0,1,0,Cold
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,0,0,0,1,0,0,Cold
1,1,7,36,24,13,5,7,15,1,1,0,5,15,0,2,33,0,0.625,0,1,0,0,Cold
1,1,0,9,8,2,1,1,5,0,1,0,2,5,1,1,16,0,1,1,1,1,1,Cold
1,0,0,8,5,3,0,0,3,1,1,0,3,3,1,1,10,0,0,0,0,1,0,Cold
1,0,1,4,2,3,1,1,0,1,1,0,1,0,0,1,6,0,0.111111,0,0,0,0,Cold
1,0,0,4,2,2,0,0,0,0,1,0,2,0,1,1,6,0,0,0,0,0,0,Cold
0,0,2,5,3,4,1,2,0,0,0,0,2,0,1,1,6,0,0.125,0,0,0,0,Cold
1,0,0,8,5,3,0,0,3,1,1,0,3,3,1,1,10,0,0,0,0,1,0,Cold
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,0,0,0,0,0,0,Cold
0,0,2,5,3,4,1,2,0,0,0,0,2,0,1,1,6,0,0.125,0,0,0,0,Cold
1,0,0,8,5,3,0,0,3,1,1,0,3,3,1,1,10,0,0,0,0,1,0,Cold
1,0,0,8,5,3,0,0,3,1,1,0,3,3,2,1,11,0,0,0,0,1,0,Cold
1,0,0,5,2,3,0,0,0,1,1,0,3,0,1,1,7,0,0,0,0,0,0,Cold
5988,0,7485,37425,19461,25449,2994,5988,0,2994,5988,0,13473,0,1497,1497,32934,0,1,1,0,1,1,Cold
24,8,236,708,436,408,8,16,76,20,24,0,156,76,8,24,600,0,0.5,1,4,1,1,Cold
1,0,0,8,5,3,0,0,3,1,1,0,3,3,2,1,11,0,0,0,0,1,0,Cold
1,1,0,9,8,2,1,1,5,0,1,0,2,5,1,1,16,0,1,1,1,1,1,Cold
